Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
261,Justin Jackson\jacksju01,SF,26,PHO,3,0,7.7,1.7,2.3,.714,1.0,1.7,.600,0.7,0.7,1.000,.929,0.0,0.0,,0.3,1.7,2.0,0.0,0.0,0.0,0.3,0.7,4.3
262,Reggie Jackson\jacksre01,SG,31,LAC,38,38,31.8,6.3,16.2,.386,2.6,7.7,.332,3.7,8.6,.434,.464,1.6,1.9,.845,0.5,2.9,3.4,3.9,0.8,0.1,2.2,2.0,16.7
263,LeBron James\jamesle01,SF,37,LAL,29,29,36.8,10.8,20.4,.528,2.9,7.8,.372,7.9,12.7,.624,.599,4.4,5.6,.785,1.1,6.3,7.4,6.6,1.7,1.1,3.3,2.3,28.9
264,DeJon Jarreau\jarrede01,SG,24,IND,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,DaQuan Jeffries\jeffrda01,SG,24,MEM,3,0,3.0,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.3,0.7
266,Ty Jerome\jeromty01,SG,24,OKC,31,3,14.8,2.6,6.5,.403,0.9,3.3,.282,1.7,3.2,.531,.475,0.9,1.2,.806,0.5,1.1,1.5,1.6,0.6,0.1,0.7,1.3,7.1
267,Isaiah Joe\joeis01,SG,22,PHI,24,0,12.3,1.3,3.8,.348,1.0,2.8,.338,0.4,1.0,.375,.473,0.6,0.6,.933,0.1,1.3,1.4,0.8,0.2,0.1,0.3,0.8,4.2
268,Alize Johnson\johnsal02,PF,25,TOT,19,0,7.3,0.7,1.5,.483,0.0,0.2,.000,0.7,1.3,.560,.483,0.2,0.4,.500,1.1,1.4,2.5,0.4,0.2,0.0,0.6,0.8,1.7
268,Alize Johnson\johnsal02,PF,25,CHI,16,0,7.6,0.8,1.4,.522,0.0,0.1,.000,0.8,1.3,.571,.522,0.3,0.4,.571,1.0,1.3,2.3,0.5,0.2,0.0,0.5,0.9,1.8
268,Alize Johnson\johnsal02,PF,25,WAS,3,0,6.0,0.7,2.0,.333,0.0,0.7,.000,0.7,1.3,.500,.333,0.0,0.3,.000,1.7,2.3,4.0,0.0,0.0,0.0,1.0,0.0,1.3
269,B.J. Johnson\johnsbj01,SF,26,ORL,4,0,16.3,2.8,6.3,.440,1.0,2.5,.400,1.8,3.8,.467,.520,0.0,0.0,,1.5,2.3,3.8,0.0,0.0,0.3,0.0,1.0,6.5
270,Cameron Johnson\johnsca02,PF,25,PHO,39,6,25.6,4.1,8.9,.458,2.5,5.8,.438,1.6,3.2,.496,.600,1.2,1.5,.825,0.6,3.6,4.3,1.3,0.8,0.3,0.7,1.6,11.9
271,David Johnson\johnsda08,SG,20,TOR,2,0,1.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,Jalen Johnson\johnsja05,PF,20,ATL,11,0,4.7,0.7,1.5,.471,0.2,0.5,.333,0.5,1.0,.545,.529,0.4,0.5,.667,0.0,1.2,1.2,0.1,0.0,0.0,0.2,0.3,2.0
273,James Johnson\johnsja01,PF,34,BRK,27,2,18.0,2.1,4.3,.483,0.3,1.0,.259,1.8,3.3,.551,.513,0.2,0.6,.353,0.9,2.7,3.6,1.7,0.4,0.4,0.6,2.0,4.6
274,Joe Johnson\johnsjo02,SG,40,BOS,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
275,Keldon Johnson\johnske04,SF,22,SAS,36,36,30.9,5.6,12.3,.452,1.6,3.5,.441,4.0,8.8,.457,.516,2.0,2.9,.686,1.1,5.4,6.5,1.7,0.8,0.1,1.4,1.9,14.7
276,Keon Johnson\johnske07,SG,19,LAC,15,0,9.0,1.1,3.4,.333,0.2,0.7,.273,0.9,2.7,.350,.363,1.1,1.4,.762,0.4,1.0,1.4,0.9,0.5,0.1,0.5,1.4,3.5
277,Stanley Johnson\johnsst04,PF,25,LAL,7,5,22.6,1.9,4.3,.433,0.6,2.6,.222,1.3,1.7,.750,.500,1.3,1.4,.900,0.4,2.3,2.7,1.3,1.1,0.4,0.4,4.0,5.6
278,Tyler Johnson\johnsty01,PG,29,TOT,6,0,15.2,1.0,3.3,.300,0.8,2.2,.385,0.2,1.2,.143,.425,0.0,0.0,,0.5,1.5,2.0,1.2,0.5,0.5,0.3,1.2,2.8
278,Tyler Johnson\johnsty01,PG,29,PHI,3,0,12.7,1.3,3.3,.400,1.0,2.3,.429,0.3,1.0,.333,.550,0.0,0.0,,0.3,1.7,2.0,0.7,0.3,0.3,0.3,1.3,3.7
278,Tyler Johnson\johnsty01,PG,29,SAS,3,0,17.7,0.7,3.3,.200,0.7,2.0,.333,0.0,1.3,.000,.300,0.0,0.0,,0.7,1.3,2.0,1.7,0.7,0.7,0.3,1.0,2.0
279,Nikola Jokić\jokicni01,C,26,DEN,34,34,32.8,10.1,17.9,.563,1.5,4.2,.354,8.6,13.6,.627,.604,4.1,5.3,.772,2.8,11.4,14.1,7.0,1.4,0.8,3.6,2.4,25.7
280,Carlik Jones\jonesca03,PG,24,TOT,5,0,4.6,0.2,1.8,.111,0.0,0.2,.000,0.2,1.6,.125,.111,0.4,0.4,1.000,0.2,0.4,0.6,1.0,0.2,0.0,0.6,0.0,0.8
280,Carlik Jones\jonesca03,PG,24,DAL,3,0,6.3,0.0,2.3,.000,0.0,0.3,.000,0.0,2.0,.000,.000,0.7,0.7,1.000,0.3,0.7,1.0,1.7,0.3,0.0,1.0,0.0,0.7
280,Carlik Jones\jonesca03,PG,24,DEN,2,0,2.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
281,Damian Jones\jonesda03,C,26,SAC,25,4,14.2,2.2,3.6,.618,0.1,0.4,.273,2.1,3.1,.667,.635,1.3,1.8,.717,1.5,2.7,4.2,0.8,0.1,0.4,1.0,2.0,5.8
282,Derrick Jones Jr.\jonesde02,PF,24,CHI,30,7,17.8,2.4,4.1,.582,0.5,1.2,.405,1.9,2.8,.659,.643,1.3,1.5,.848,1.2,2.2,3.5,0.5,0.5,0.8,0.5,2.4,6.5
283,Herbert Jones\joneshe01,C,23,NOP,38,29,28.7,3.3,7.0,.479,0.6,1.6,.373,2.8,5.4,.510,.521,1.4,1.7,.818,1.2,2.4,3.7,1.8,1.4,1.0,1.1,3.0,8.7
284,Jemerrio Jones\jonesje01,SF,26,LAL,2,0,7.5,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.0,0.0,,1.0,0.5,1.5,0.0,0.5,0.0,0.0,1.0,2.0
285,Kai Jones\joneska01,C,21,CHO,12,0,2.8,0.3,0.5,.667,0.0,0.1,.000,0.3,0.4,.800,.667,0.1,0.3,.250,0.1,0.4,0.5,0.2,0.0,0.0,0.4,0.2,0.8
286,Mason Jones\jonesma05,SG,23,LAL,2,0,4.5,1.0,4.0,.250,0.0,1.0,.000,1.0,3.0,.333,.250,0.5,1.0,.500,0.5,0.5,1.0,0.0,0.5,0.0,0.5,0.5,2.5
287,Tre Jones\jonestr01,PG,22,SAS,35,2,12.6,1.8,3.7,.485,0.1,0.4,.154,1.7,3.3,.521,.492,0.6,0.6,1.000,0.4,1.6,2.0,2.3,0.4,0.0,0.6,0.9,4.3
288,Tyus Jones\jonesty01,PG,25,MEM,42,13,21.4,3.3,6.9,.478,1.0,2.5,.402,2.3,4.3,.522,.552,0.8,0.9,.917,0.3,2.5,2.8,4.2,0.9,0.0,0.8,0.5,8.4
289,DeAndre Jordan\jordade01,C,33,LAL,28,18,13.0,2.0,3.0,.675,0.0,0.0,,2.0,3.0,.675,.675,0.4,0.6,.588,1.6,4.0,5.6,0.4,0.4,0.9,0.7,1.7,4.4
290,Cory Joseph\josepco01,PG,30,DET,29,6,22.2,2.6,5.6,.457,0.9,2.1,.417,1.7,3.5,.480,.534,1.5,1.8,.846,0.3,1.8,2.1,3.7,0.8,0.2,1.4,1.7,7.5
291,Georgios Kalaitzakis\kalaige01,SF,23,MIL,9,0,5.3,0.6,1.2,.455,0.2,0.4,.500,0.3,0.8,.429,.545,0.4,1.0,.444,0.4,0.4,0.9,0.0,0.1,0.1,0.4,0.9,1.8
292,Frank Kaminsky\kaminfr01,C,28,PHO,9,0,20.1,4.0,7.3,.545,0.6,1.7,.333,3.4,5.7,.608,.583,2.0,2.2,.900,1.2,3.3,4.6,1.4,0.9,0.8,0.6,1.6,10.6
293,Luke Kennard\kennalu01,SG,25,LAC,35,10,29.0,4.1,9.4,.432,2.8,6.3,.441,1.3,3.1,.413,.579,0.8,0.9,.879,0.2,3.2,3.4,2.1,0.7,0.1,0.8,1.6,11.7
294,Braxton Key\keybr01,SF,24,PHI,2,0,3.0,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.0,0.0,,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.5,1.0
295,George King\kingge03,SF,28,DAL,4,0,4.8,0.0,1.3,.000,0.0,1.0,.000,0.0,0.3,.000,.000,0.3,0.5,.500,0.0,1.3,1.3,0.0,0.0,0.0,0.3,1.0,0.3
296,Louis King\kinglo02,SF,22,SAC,5,0,11.0,1.8,5.2,.346,1.0,3.2,.313,0.8,2.0,.400,.442,1.2,1.4,.857,0.0,1.6,1.6,0.2,0.4,0.0,0.0,1.6,5.8
