,Matchup time,Batch,Epochs,Loss,50th Quantile,%Accept,Overfit
46,10,0.3,2000,101.6692291697817,5.784859911017463,43.54066985645933,False
47,10,0.3,3000,82.36695431065901,5.181623508923948,47.84688995215311,False
48,10,0.4,1000,123.62008995530708,5.834661604866149,44.01913875598086,False
49,10,0.4,2000,80.11032089890476,6.025854981790378,44.01913875598086,False
50,10,0.4,3000,82.22815291847338,4.97451459683054,50.717703349282296,False
51,10,0.5,1000,78.6676083249909,5.265371322631836,45.45454545454545,False
52,10,0.5,2000,101.65233615710974,5.546482352408122,44.97607655502392,False
53,10,0.5,3000,76.64043795206901,5.487404973146322,44.01913875598086,False
54,10,0.6,1000,104.7506002763812,6.852481538496221,37.79904306220095,False
55,10,0.6,2000,82.27856043765419,5.81411538772765,44.01913875598086,True
56,10,0.6,3000,92.8884822717694,5.693820918508983,44.49760765550239,False
57,10,0.7,1000,114.28470872577869,5.99912243084696,43.0622009569378,False
58,10,0.7,2000,120.48661924663342,6.026747610185531,39.23444976076555,True
59,10,0.7,3000,69.99955366216778,5.856512370862459,44.49760765550239,False
60,11,0.3,1000,87.15637288603392,4.995178077306196,50.314465408805034,True
61,11,0.3,2000,74.09582836223099,5.615151628382739,47.16981132075472,False
62,11,0.3,3000,88.76575162875578,5.513990177449955,44.0251572327044,True
63,11,0.4,1000,94.9101759232815,5.690199505199086,44.65408805031446,False
64,11,0.4,2000,88.65406976855776,5.365956683491554,44.65408805031446,False
65,11,0.4,3000,93.55084276499238,5.494007333643969,47.16981132075472,False
66,11,0.5,1000,105.10246291250553,5.733179998272014,46.540880503144656,False
67,11,0.5,2000,74.5121436928803,5.815072919938949,42.138364779874216,True
68,11,0.5,3000,96.2474802365093,4.793748017292112,51.57232704402516,True
69,11,0.6,1000,117.40002179895556,5.559197513769703,45.28301886792453,False
70,11,0.6,2000,97.82483279630073,6.142839586567545,36.477987421383645,False
71,11,0.6,3000,77.8959735414517,5.494977183156202,45.911949685534594,True
72,11,0.7,1000,130.26444541883168,5.5896286803973325,44.0251572327044,False
73,11,0.7,2000,80.49013008261626,6.236941959546961,38.36477987421384,False
74,11,0.7,3000,72.39125300953224,5.169254720019374,48.42767295597484,True
75,12,0.3,1000,80.26587945906843,6.047529928552818,44.26229508196721,True
76,12,0.3,2000,85.82872759709593,5.121548387807826,49.18032786885246,True
77,12,0.3,3000,83.86042729362113,4.757262356799265,53.278688524590166,True
78,12,0.4,1000,102.47706779104765,5.117836220022166,48.36065573770492,False
79,12,0.4,2000,85.05347255018891,6.107078575247515,42.62295081967213,True
80,12,0.4,3000,100.54934704890016,6.507913576484994,43.44262295081967,False
81,12,0.5,1000,74.10265850629963,5.117514480916105,49.18032786885246,False
82,12,0.5,2000,78.57818628530033,5.7593106105350715,41.80327868852459,False
83,12,0.5,3000,76.13110238997663,4.936938783580853,50.81967213114754,False
84,12,0.6,1000,87.91095358426453,5.852057000826949,40.98360655737705,False
85,12,0.6,2000,81.20479158495293,4.917148350390844,50.81967213114754,True
86,12,0.6,3000,68.09655386502625,5.603954754668949,45.08196721311475,True
87,12,0.7,1000,105.91203720843205,5.9582006322148855,43.44262295081967,False
88,12,0.7,2000,66.95407879938844,5.378519611385737,44.26229508196721,False
89,12,0.7,3000,78.79247196385118,5.581714820263279,44.26229508196721,False
90,13,0.3,1000,63.5079624778346,5.908854707909342,46.31578947368421,False
91,13,0.3,2000,58.40044511493883,4.901939204985366,51.578947368421055,True
92,13,0.3,3000,98.22065140573602,6.301131379370595,36.84210526315789,True
93,13,0.4,1000,81.65924859297903,6.7037554654208105,37.89473684210527,False
94,13,0.4,2000,95.33754039563631,6.282990739152238,37.89473684210527,True
95,13,0.4,3000,86.26696110775596,5.858261216989455,43.15789473684211,True
96,13,0.5,1000,95.22422605815687,6.132333173549931,38.94736842105263,False
97,13,0.5,2000,93.42640926963405,5.057491687781027,49.473684210526315,False
98,13,0.5,3000,69.94427181043123,4.459609798247085,55.78947368421052,True
99,13,0.6,1000,94.52479015149568,6.006213936522055,44.21052631578947,False
100,13,0.6,2000,71.74732722232217,4.859492750472674,50.526315789473685,True
101,13,0.6,3000,87.88603491532176,5.815318799486349,45.26315789473684,False
102,13,0.7,1000,90.60612620303506,6.162213825635877,38.94736842105263,True
103,13,0.7,2000,89.53003532008121,5.314331079844376,48.421052631578945,True
104,13,0.7,3000,86.13693984182257,6.056551489877766,43.15789473684211,False
105,14,0.3,1000,84.89542811075846,4.751813063523637,53.333333333333336,True
106,14,0.3,2000,71.06745056152344,5.696346976994219,38.666666666666664,True
107,14,0.3,3000,74.43667137145997,5.184450315985725,49.333333333333336,True
108,14,0.4,1000,89.71303202311198,5.006267932898215,49.333333333333336,False
109,14,0.4,2000,66.87146555582682,5.138523737589516,49.333333333333336,False
110,14,0.4,3000,94.40472768147787,6.617080714875852,42.66666666666667,True
111,14,0.5,1000,86.01972412109374,5.007508595784506,49.333333333333336,False
112,14,0.5,2000,70.57390375773112,5.165102914322254,49.333333333333336,False
113,14,0.5,3000,87.4021531677246,5.237260088158365,48.0,True
114,14,0.6,1000,73.9429921468099,5.388213663634461,46.666666666666664,False
115,14,0.6,2000,100.56453603108724,4.956752885690626,52.0,False
116,14,0.6,3000,91.25825719197591,5.552037418191203,42.66666666666667,False
117,14,0.7,1000,42.41916788736979,4.002946285254172,60.0,False
118,14,0.7,2000,84.3601572672526,6.5456248002014945,38.666666666666664,True
119,14,0.7,3000,88.06419728597005,5.950531843887449,46.666666666666664,True
