Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
72,Charlie Brown Jr.\brownch02,SG,24,DAL,3,15,5.1,.200,.600,.000,0.0,7.4,3.7,9.0,6.7,6.1,0.0,14.9,,-0.1,0.0,0.0,-0.046,,-7.3,5.2,-2.1,0.0
72,Charlie Brown Jr.\brownch02,SG,24,PHI,2,35,7.1,.316,.600,.600,3.2,18.6,11.0,3.6,5.7,2.6,24.0,10.7,,-0.1,0.1,0.0,-0.005,,-7.2,4.6,-2.6,0.0
73,Chaundee Brown Jr.\brownch05,SG-SF,23,TOT,5,104,6.8,.447,.563,.188,1.0,15.4,8.3,5.2,0.9,0.0,2.8,14.9,,0.0,0.0,0.0,.005,,-3.9,-2.7,-6.6,-0.1
73,Chaundee Brown Jr.\brownch05,SF,23,LAL,2,21,-8.7,.143,.429,.000,0.0,9.8,5.0,0.0,0.0,0.0,12.5,16.3,,-0.1,0.0,-0.1,-0.297,,-11.1,-5.2,-16.3,-0.1
73,Chaundee Brown Jr.\brownch05,SG,23,ATL,3,83,10.7,.525,.600,.240,1.3,16.8,9.1,6.5,1.2,0.0,0.0,14.5,,0.1,0.0,0.1,.081,,-2.1,-2.1,-4.2,0.0
74,Greg Brown III\browngr01,SF,20,POR,15,73,8.2,.377,.185,.407,10.4,20.0,15.1,10.2,1.3,5.2,13.6,22.0,,-0.2,0.1,-0.1,-0.074,,-6.3,-1.4,-7.8,-0.1
75,Jaylen Brown\brownja02,SF,25,BOS,27,939,18.7,.565,.393,.256,2.7,17.9,10.2,15.9,1.6,1.4,12.6,30.9,,0.7,1.2,1.9,.097,,2.7,0.0,2.7,1.0
76,Moses Brown\brownmo01,C,22,DAL,24,162,16.1,.605,.000,.896,10.0,29.0,19.3,0.0,0.9,4.5,17.3,22.4,,0.1,0.3,0.4,.122,,-4.4,-0.4,-4.8,-0.1
77,Sterling Brown\brownst02,SG,26,DAL,32,481,10.1,.535,.627,.085,4.7,22.5,13.5,8.5,1.3,1.0,14.0,13.3,,0.1,0.7,0.8,.081,,-2.1,0.5,-1.6,0.0
78,Troy Brown Jr.\browntr01,SF,22,CHI,27,396,12.2,.504,.425,.151,3.9,17.1,10.5,11.4,2.3,0.4,6.6,13.4,,0.3,0.5,0.9,.103,,-1.3,1.1,-0.2,0.2
79,Jalen Brunson\brunsja01,PG,25,DAL,39,1199,18.3,.569,.244,.218,2.1,11.2,6.5,30.2,1.4,0.2,10.6,22.9,,2.6,1.2,3.8,.151,,1.7,0.1,1.8,1.1
80,Shaq Buchanan\buchash01,PG,25,MEM,2,10,0.8,.250,.500,.000,10.4,10.8,10.6,25.8,4.8,0.0,33.3,25.0,,-0.1,0.0,0.0,-0.237,,-10.7,-0.3,-11.0,0.0
81,Reggie Bullock\bullore01,SF,30,DAL,33,801,7.2,.511,.744,.084,0.9,12.3,6.5,6.5,0.9,0.6,7.9,12.8,,0.0,0.8,0.8,.048,,-2.9,-0.1,-3.0,-0.2
82,Trey Burke\burketr01,PG,29,DAL,19,258,14.9,.524,.383,.133,0.8,8.7,4.7,25.9,1.6,0.0,10.6,26.3,,0.2,0.3,0.4,.077,,-0.2,-0.9,-1.1,0.1
83,Alec Burks\burksal01,SG,30,NYK,40,1102,14.8,.552,.508,.339,2.0,14.6,8.3,13.4,2.4,1.0,8.0,18.7,,1.7,1.3,2.9,.128,,-0.1,1.0,0.9,0.8
84,Jared Butler\butleja02,SG,21,UTA,20,113,6.7,.465,.577,.173,1.0,12.8,7.2,17.6,1.7,4.5,22.2,27.4,,-0.3,0.2,-0.2,-0.065,,-5.9,0.4,-5.5,-0.1
85,Jimmy Butler\butleji01,SF,32,MIA,23,777,27.0,.603,.122,.517,6.2,13.2,9.7,27.3,2.9,1.3,9.2,27.7,,3.2,1.2,4.4,.272,,6.3,2.6,8.9,2.1
86,Devontae Cacok\cacokde01,PF,25,SAS,6,54,26.1,.684,.000,.000,9.5,29.2,19.2,5.7,3.6,7.9,5.0,15.6,,0.2,0.1,0.3,.259,,2.1,4.4,6.5,0.1
87,Kentavious Caldwell-Pope\caldwke01,SG,28,WAS,38,1130,11.7,.555,.553,.136,1.9,11.0,6.6,8.3,1.9,1.3,11.1,17.6,,0.4,0.8,1.3,.053,,-1.1,0.1,-1.0,0.3
88,Facundo Campazzo\campafa01,PG,30,DEN,38,838,12.5,.528,.635,.256,1.9,9.1,5.5,24.9,2.5,2.1,16.7,15.0,,0.7,1.0,1.8,.101,,-1.5,1.2,-0.3,0.4
